Date,Mean Rainfall
2017-01-01,6.59
2017-01-02,11.26
2017-01-03,2.39
2017-01-04,0.05
2017-01-05,0.01
2017-01-06,0.14
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,5.9
2017-01-11,11.55
2017-01-12,0.0
2017-01-13,1.02
2017-01-14,0.37
2017-01-15,1.44
2017-01-16,0.0
2017-01-17,0.05
2017-01-18,21.81
2017-01-19,27.87
2017-01-20,4.11
2017-01-21,16.06
2017-01-22,2.76
2017-01-23,37.45
2017-01-24,8.24
2017-01-25,3.17
2017-01-26,0.39
2017-01-27,0.41
2017-01-28,4.38
2017-01-29,0.0
2017-01-30,4.98
2017-01-31,0.04
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,0.12
2017-02-04,10.42
2017-02-05,0.07
2017-02-06,0.57
2017-02-07,7.62
2017-02-08,1.86
2017-02-09,0.02
2017-02-10,0.0
2017-02-11,0.02
2017-02-12,3.42
2017-02-13,1.18
2017-02-14,0.96
2017-02-15,0.9
2017-02-16,0.06
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.41
2017-02-20,0.11
2017-02-21,8.07
2017-02-22,0.13
2017-02-23,11.5
2017-02-24,18.88
2017-02-25,7.13
2017-02-26,1.42
2017-02-27,0.86
2017-02-28,9.25
2017-03-01,3.62
2017-03-02,0.21
2017-03-03,18.84
2017-03-04,5.18
2017-03-05,5.14
2017-03-06,11.23
2017-03-07,0.0
2017-03-08,0.4
2017-03-09,0.04
2017-03-10,0.0
2017-03-11,9.13
2017-03-12,0.05
2017-03-13,0.14
2017-03-14,2.16
2017-03-15,0.0
2017-03-16,0.06
2017-03-17,8.86
2017-03-18,2.67
2017-03-19,0.0
2017-03-20,5.31
2017-03-21,0.0
2017-03-22,7.93
2017-03-23,0.02
2017-03-24,0.79
2017-03-25,17.53
2017-03-26,1.22
2017-03-27,1.12
2017-03-28,4.34
2017-03-29,10.77
2017-03-30,11.1
2017-03-31,7.63
2017-04-01,4.73
2017-04-02,0.04
2017-04-03,0.49
2017-04-04,0.02
2017-04-05,0.01
2017-04-06,0.0
2017-04-07,0.06
2017-04-08,3.01
2017-04-09,3.78
2017-04-10,0.03
2017-04-11,0.15
2017-04-12,0.23
2017-04-13,1.59
2017-04-14,11.89
2017-04-15,6.15
2017-04-16,0.98
2017-04-17,0.84
2017-04-18,25.76
2017-04-19,0.87
2017-04-20,5.17
2017-04-21,3.8
2017-04-22,0.09
2017-04-23,1.53
2017-04-24,10.94
2017-04-25,7.94
2017-04-26,0.38
2017-04-27,2.47
2017-04-28,0.32
2017-04-29,0.2
2017-04-30,0.0
2017-05-01,0.6
2017-05-02,8.03
2017-05-03,0.36
2017-05-04,7.7
2017-05-05,1.53
2017-05-06,2.52
2017-05-07,4.8
2017-05-08,0.03
2017-05-09,0.01
2017-05-10,4.27
2017-05-11,0.0
2017-05-12,12.66
2017-05-13,1.59
2017-05-14,0.14
2017-05-15,9.41
2017-05-16,1.41
2017-05-17,0.31
2017-05-18,2.55
2017-05-19,0.28
2017-05-20,0.04
2017-05-21,4.33
2017-05-22,1.48
2017-05-23,0.0
2017-05-24,28.55
2017-05-25,0.13
2017-05-26,17.52
2017-05-27,1.12
2017-05-28,0.23
2017-05-29,0.01
2017-05-30,2.88
2017-05-31,0.4
2017-06-01,0.02
2017-06-02,0.0
2017-06-03,0.0
2017-06-04,0.0
2017-06-05,0.18
2017-06-06,0.0
2017-06-07,0.0
2017-06-08,1.82
2017-06-09,0.0
2017-06-10,1.26
2017-06-11,0.02
2017-06-12,0.04
2017-06-13,0.0
2017-06-14,14.07
2017-06-15,0.66
2017-06-16,6.01
2017-06-17,0.0
2017-06-18,11.36
2017-06-19,0.01
2017-06-20,0.98
2017-06-21,5.24
2017-06-22,0.0
2017-06-23,7.33
2017-06-24,0.0
2017-06-25,12.43
2017-06-26,1.11
2017-06-27,1.03
2017-06-28,7.91
2017-06-29,5.42
2017-06-30,0.0
2017-07-01,0.0
2017-07-02,0.86
2017-07-03,0.54
2017-07-04,0.0
2017-07-05,25.98
2017-07-06,0.05
2017-07-07,0.45
2017-07-08,0.01
2017-07-09,0.01
2017-07-10,0.0
2017-07-11,0.02
2017-07-12,0.75
2017-07-13,0.84
2017-07-14,32.62
2017-07-15,0.28
2017-07-16,0.01
2017-07-17,0.0
2017-07-18,0.0
2017-07-19,0.0
2017-07-20,0.0
2017-07-21,0.0
2017-07-22,0.0
2017-07-23,0.0
2017-07-24,0.0
2017-07-25,0.0
2017-07-26,4.14
2017-07-27,0.0
2017-07-28,0.0
2017-07-29,0.15
2017-07-30,0.3
2017-07-31,0.09
2017-08-01,2.63
2017-08-02,0.0
2017-08-03,0.0
2017-08-04,0.0
2017-08-05,0.16
2017-08-06,3.42
2017-08-07,1.5
2017-08-08,3.29
2017-08-09,0.07
2017-08-10,0.05
2017-08-11,26.94
2017-08-12,4.93
2017-08-13,0.12
2017-08-14,0.87
2017-08-15,10.47
2017-08-16,0.0
2017-08-17,26.98
2017-08-18,0.16
2017-08-19,1.89
2017-08-20,0.5
2017-08-21,0.18
2017-08-22,0.02
2017-08-23,0.0
2017-08-24,1.38
2017-08-25,0.0
2017-08-26,0.0
2017-08-27,0.22
2017-08-28,0.78
2017-08-29,0.64
2017-08-30,0.11
2017-08-31,0.04
2017-09-01,0.5
2017-09-02,0.0
2017-09-03,0.06
2017-09-04,0.09
2017-09-05,3.54
2017-09-06,7.66
2017-09-07,0.01
2017-09-08,16.3
2017-09-09,2.86
2017-09-10,4.04
2017-09-11,4.34
2017-09-12,0.01
2017-09-13,0.01
2017-09-14,5.54
2017-09-15,9.38
2017-09-16,1.55
2017-09-17,2.24
2017-09-18,21.9
2017-09-19,6.74
2017-09-20,1.7
2017-09-21,0.61
2017-09-22,1.63
2017-09-23,4.37
2017-09-24,0.02
2017-09-25,0.39
2017-09-26,14.37
2017-09-27,0.59
2017-09-28,1.85
2017-09-29,19.44
2017-09-30,0.02
2017-10-01,7.43
2017-10-02,0.01
2017-10-03,4.64
2017-10-04,2.08
2017-10-05,4.41
2017-10-06,5.96
2017-10-07,9.04
2017-10-08,16.65
2017-10-09,0.65
2017-10-10,0.03
2017-10-11,0.02
2017-10-12,0.56
2017-10-13,0.03
2017-10-14,0.0
2017-10-15,0.0
2017-10-16,0.0
2017-10-17,0.0
2017-10-18,0.0
2017-10-19,0.0
2017-10-20,0.0
2017-10-21,1.55
2017-10-22,0.83
2017-10-23,0.05
2017-10-24,4.86
2017-10-25,3.63
2017-10-26,3.32
2017-10-27,2.02
2017-10-28,0.0
2017-10-29,6.06
2017-10-30,1.32
2017-10-31,0.19
2017-11-01,0.19
2017-11-02,0.08
2017-11-03,0.03
2017-11-04,0.02
2017-11-05,0.08
2017-11-06,2.29
2017-11-07,4.28
2017-11-08,0.12
2017-11-09,24.72
2017-11-10,19.49
2017-11-11,13.38
2017-11-12,4.22
2017-11-13,3.25
2017-11-14,0.61
2017-11-15,0.34
2017-11-16,4.56
2017-11-17,0.11
2017-11-18,5.9
2017-11-19,0.06
2017-11-20,5.22
2017-11-21,6.54
2017-11-22,2.75
2017-11-23,9.81
2017-11-24,4.31
2017-11-25,1.7
2017-11-26,3.47
2017-11-27,0.47
2017-11-28,0.94
2017-11-29,1.91
2017-11-30,0.02
2017-12-01,0.03
2017-12-02,0.02
2017-12-03,0.06
2017-12-04,2.02
2017-12-05,2.25
2017-12-06,0.02
2017-12-07,6.04
2017-12-08,0.01
2017-12-09,0.01
2017-12-10,1.38
2017-12-11,7.1
2017-12-12,12.24
2017-12-13,11.3
2017-12-14,0.08
2017-12-15,14.58
2017-12-16,3.7
2017-12-17,0.02
2017-12-18,0.04
2017-12-19,1.7
2017-12-20,0.05
2017-12-21,0.0
2017-12-22,0.02
2017-12-23,0.95
2017-12-24,0.03
2017-12-25,0.22
2017-12-26,0.01
2017-12-27,0.97
2017-12-28,7.01
2017-12-29,1.6
2017-12-30,7.09
2017-12-31,24.62
2018-01-01,2.35
2018-01-02,7.18
2018-01-03,11.87
2018-01-04,0.16
2018-01-05,8.65
2018-01-06,0.14
2018-01-07,2.18
2018-01-08,14.14
2018-01-09,12.0
2018-01-10,11.44
2018-01-11,0.76
2018-01-12,1.36
2018-01-13,2.26
2018-01-14,0.04
2018-01-15,0.13
2018-01-16,0.0
2018-01-17,0.05
2018-01-18,0.18
2018-01-19,6.41
2018-01-20,4.68
2018-01-21,0.1
2018-01-22,0.48
2018-01-23,8.46
2018-01-24,3.71
2018-01-25,0.26
2018-01-26,9.04
2018-01-27,0.03
2018-01-28,6.5
2018-01-29,0.02
2018-01-30,1.75
2018-01-31,2.41
2018-02-01,2.84
2018-02-02,3.9
2018-02-03,0.12
2018-02-04,0.85
2018-02-05,0.12
2018-02-06,0.0
2018-02-13,0.0
2018-02-14,0.01
2018-02-15,0.0
2018-02-16,0.0
2018-02-19,0.0
2018-02-20,0.0
2018-02-21,0.22
2018-02-22,0.02
2018-02-23,13.28
2018-02-24,0.53
2018-02-25,0.01
2018-02-26,0.0
2018-02-27,0.09
2018-02-28,1.52
2018-03-01,1.19
2018-03-02,2.01
2018-03-03,5.28
2018-03-04,2.76
2018-03-05,0.02
2018-03-06,0.0
2018-03-07,3.9
2018-03-08,0.16
2018-03-09,0.0
2018-03-10,1.55
2018-03-11,0.04
2018-03-12,3.92
2018-03-13,0.04
2018-03-14,0.0
2018-03-15,0.0
2018-03-16,2.35
2018-03-17,0.42
2018-03-18,0.0
2018-03-19,0.1
2018-03-20,1.55
2018-03-21,0.17
2018-03-22,0.01
2018-03-23,0.01
2018-03-24,9.99
2018-03-25,2.48
2018-03-26,8.6
2018-03-27,2.06
2018-03-28,1.33
2018-03-29,0.07
2018-03-30,6.23
2018-03-31,0.06
2018-04-01,7.17
2018-04-02,0.02
2018-04-03,0.31
2018-04-04,0.0
2018-04-05,1.0
2018-04-06,1.37
2018-04-07,12.86
2018-04-08,0.49
2018-04-09,0.08
2018-04-10,0.0
2018-04-11,0.0
2018-04-16,2.56
2018-04-17,10.36
2018-04-18,0.36
2018-04-19,11.42
2018-04-20,27.58
2018-04-21,4.32
2018-04-22,5.52
2018-04-23,20.43
2018-04-24,1.51
2018-04-25,0.0
2018-04-26,0.62
2018-04-27,17.68
2018-04-28,2.21
2018-04-29,0.0
2018-04-30,2.49
2018-05-01,18.16
2018-05-02,5.03
2018-05-03,13.73
2018-05-04,0.33
2018-05-05,2.67
2018-05-06,0.74
2018-05-07,0.0
2018-05-08,0.0
2018-05-09,0.0
2018-05-10,0.32
2018-05-11,2.68
2018-05-12,0.42
2018-05-13,4.6
2018-05-14,1.53
2018-05-15,9.58
2018-05-16,11.94
2018-05-17,3.52
2018-05-18,13.69
2018-05-19,11.84
2018-05-20,10.28
2018-05-21,0.42
2018-05-22,1.12
2018-05-23,8.26
2018-05-24,0.04
2018-05-25,1.07
2018-05-26,32.41
2018-05-27,3.19
2018-05-28,9.82
2018-05-29,6.48
2018-05-30,0.58
2018-05-31,2.62
2018-06-01,0.08
2018-06-02,0.43
2018-06-03,0.17
2018-06-04,0.01
2018-06-05,0.0
2018-06-06,0.0
2018-06-07,0.0
2018-06-08,11.15
2018-06-09,0.0
2018-06-10,0.0
2018-06-11,0.0
2018-06-12,0.1
2018-06-13,8.24
2018-06-14,3.94
2018-06-15,11.43
2018-06-16,0.01
2018-06-17,0.49
2018-06-18,12.17
2018-06-19,0.03
2018-06-20,21.01
2018-06-21,0.44
2018-06-22,1.64
2018-06-23,6.8
2018-06-24,0.23
2018-06-25,0.22
2018-06-26,21.49
2018-06-27,11.97
2018-06-28,0.61
2018-06-29,37.22
2018-06-30,0.04
2018-07-01,6.79
2018-07-02,0.66
2018-07-03,2.35
2018-07-04,0.01
2018-07-05,0.0
2018-07-06,0.01
2018-07-07,0.08
2018-07-08,0.0
2018-07-09,2.45
2018-07-10,0.02
2018-07-11,0.0
2018-07-12,0.0
2018-07-13,0.03
2018-07-14,0.94
2018-07-15,0.04
2018-07-16,0.0
2018-07-17,0.0
2018-07-18,0.0
2018-07-19,0.02
2018-07-20,0.02
2018-07-21,0.02
2018-07-22,2.15
2018-07-23,0.0
2018-07-24,0.04
2018-07-25,12.86
2018-07-26,0.0
2018-07-27,0.0
2018-07-28,0.01
2018-07-29,0.88
2018-07-30,2.77
2018-07-31,0.0
2018-08-01,0.95
2018-08-02,0.0
2018-08-03,0.0
2018-08-04,0.55
2018-08-05,4.45
2018-08-06,0.01
2018-08-07,0.0
2018-08-08,0.04
2018-08-09,0.0
2018-08-10,0.0
2018-08-11,0.0
2018-08-12,0.0
2018-08-13,0.0
2018-08-14,0.67
2018-08-15,0.12
2018-08-16,0.0
2018-08-17,7.28
2018-08-18,0.0
2018-08-19,0.67
2018-08-20,2.78
2018-08-21,0.0
2018-08-22,21.32
2018-08-23,0.03
2018-08-24,15.44
2018-08-25,0.0
2018-08-26,0.0
2018-08-27,0.0
2018-08-28,1.88
2018-08-29,0.34
2018-08-30,0.64
2018-08-31,16.44
2018-09-01,3.7
2018-09-02,6.62
2018-09-03,0.04
2018-09-04,1.1
2018-09-05,0.01
2018-09-06,0.0
2018-09-07,22.57
2018-09-08,1.68
2018-09-09,10.51
2018-09-10,3.93
2018-09-11,1.6
2018-09-12,0.14
2018-09-13,0.0
2018-09-14,0.0
2018-09-15,0.02
2018-09-16,0.02
2018-09-17,0.0
2018-09-18,5.52
2018-09-19,12.88
2018-09-20,3.08
2018-09-21,13.83
2018-09-22,0.67
2018-09-23,0.0
2018-09-24,0.0
2018-09-25,0.01
2018-09-26,2.48
2018-09-27,0.0
2018-09-28,0.0
2018-09-29,0.0
2018-09-30,0.0
2018-10-01,0.07
2018-10-02,0.01
2018-10-03,0.03
2018-10-04,0.06
2018-10-05,0.0
2018-10-06,9.84
2018-10-07,6.48
2018-10-08,18.87
2018-10-09,2.76
2018-10-10,19.61
2018-10-11,25.85
2018-10-12,0.2
2018-10-13,4.6
2018-10-14,3.93
2018-10-15,0.02
2018-10-16,5.76
2018-10-17,3.14
2018-10-18,0.02
2018-10-19,0.02
2018-10-20,0.04
2018-10-21,0.72
2018-10-22,0.26
2018-10-23,20.63
2018-10-24,1.52
2018-10-25,9.43
2018-10-26,3.18
2018-10-27,5.24
2018-10-28,12.56
2018-10-29,8.22
2018-10-30,15.32
2018-10-31,0.5
2018-11-01,3.5
2018-11-02,3.32
2018-11-03,3.65
2018-11-04,3.22
2018-11-05,0.11
2018-11-06,1.11
2018-11-07,0.06
2018-11-08,0.5
2018-11-09,5.0
2018-11-10,2.69
2018-11-11,30.51
2018-11-12,1.17
2018-11-13,0.06
2018-11-14,0.27
2018-11-15,16.41
2018-11-16,0.06
2018-11-17,0.14
2018-11-18,1.15
2018-11-19,11.78
2018-11-20,0.03
2018-11-21,1.6
2018-11-22,2.12
2018-11-23,8.33
2018-11-24,0.06
2018-11-25,0.02
2018-11-26,1.51
2018-11-27,1.1
2018-11-28,5.35
2018-11-29,5.54
2018-11-30,2.12
2018-12-01,8.82
2018-12-02,6.59
2018-12-03,6.86
2018-12-04,0.52
2018-12-05,15.63
2018-12-06,7.81
2018-12-07,3.23
2018-12-08,12.66
2018-12-09,2.18
2018-12-10,8.47
2018-12-11,22.08
2018-12-12,21.02
2018-12-13,0.05
2018-12-14,0.04
2018-12-15,1.0
2018-12-16,3.46
2018-12-17,1.34
2018-12-18,0.56
2018-12-19,4.49
2018-12-20,1.32
2018-12-21,1.96
2018-12-22,1.49
2018-12-23,0.0
2018-12-24,0.06
2018-12-25,0.08
2018-12-26,0.04
2018-12-27,0.01
2018-12-28,0.0
2018-12-29,0.0
2018-12-30,0.59
2018-12-31,19.68
